Time,Velocity,Altitude,Pressure,Temperature
2020 01 10::11:19:25,274.15617,10025.87367,94.17366,-41.74394
2020 01 10::11:19:25,251.82545,10028.11261,58.36870,-42.86288
2020 01 10::11:19:25,296.91890,10045.81177,51.22596,26.96785
2020 01 10::11:19:25,263.25422,10027.41364,43.10445,-21.16607
2020 01 10::11:19:25,250.66657,10176.42510,61.38185,-42.08458
2020 01 10::11:19:25,299.09772,10129.34046,86.13804,-1.34314
2020 01 10::11:19:25,274.49949,10073.78451,91.78467,22.85760
2020 01 10::11:19:25,296.16848,10124.14254,89.48363,42.29457
2020 01 10::11:19:25,253.42008,10054.17056,95.33446,-48.58490
2020 01 10::11:19:25,290.61334,10049.55598,88.82211,-39.81183
2020 01 10::11:19:25,253.45425,10088.12499,54.90361,22.37872
2020 01 10::11:19:25,286.23340,10081.36992,61.37332,-39.69026
2020 01 10::11:19:25,299.19530,10018.19618,70.78379,-26.39699
2020 01 10::11:19:25,287.58970,10040.26498,83.21052,46.44039
2020 01 10::11:19:25,279.12182,10048.03464,72.53586,35.56289
2020 01 10::11:19:25,264.49629,10087.57987,94.68887,29.52550
2020 01 10::11:19:25,276.54127,10000.49483,71.41483,18.65220
2020 01 10::11:19:25,277.00213,10032.66254,47.65970,4.68552
2020 01 10::11:19:25,286.51062,10092.39962,84.54152,9.30138
2020 01 10::11:19:25,252.46348,10124.46198,83.14264,11.46046
2020 01 10::11:19:25,291.58588,10023.62357,76.99308,-45.00683
2020 01 10::11:19:25,268.80832,10050.01703,43.12740,19.86614
2020 01 10::11:19:25,281.75177,10028.15134,42.98392,43.25393
2020 01 10::11:19:25,260.59429,10112.49847,95.17693,9.84027
2020 01 10::11:19:25,266.38336,10184.76740,62.30924,4.69912
2020 01 10::11:19:25,276.96183,10011.46043,63.50416,36.65664
2020 01 10::11:19:25,288.59109,10135.03337,63.22277,-4.78934
2020 01 10::11:19:25,283.08401,10097.95767,55.19384,-0.11462
2020 01 10::11:19:25,264.80078,10006.20920,57.92080,37.32458
2020 01 10::11:19:25,259.21462,10027.18478,65.24160,-41.52250
2020 01 10::11:19:25,284.92018,10186.77446,71.80421,25.90710
2020 01 10::11:19:25,263.93606,10181.29360,99.08202,-40.44813
2020 01 10::11:19:25,270.94368,10052.20597,82.69050,28.19696
2020 01 10::11:19:25,290.70868,10085.04508,86.27757,-26.53735
2020 01 10::11:19:25,254.34657,10188.66797,61.14764,33.29248
2020 01 10::11:19:25,259.32306,10086.95193,74.04029,-47.27457
2020 01 10::11:19:25,295.12071,10112.27129,98.12163,31.16131
2020 01 10::11:19:25,296.35672,10028.56820,64.25819,-42.61992
2020 01 10::11:19:25,277.80285,10131.55741,81.02956,26.25093
2020 01 10::11:19:25,271.23708,10074.58210,72.69807,14.36847
2020 01 10::11:19:25,282.34739,10050.86406,74.49026,15.77822
2020 01 10::11:19:25,267.01186,10126.36827,44.05680,3.50540
2020 01 10::11:19:25,290.19500,10062.22830,56.86414,-12.22399
2020 01 10::11:19:25,277.42889,10091.65578,51.53281,-12.37966
2020 01 10::11:19:25,298.38883,10023.48346,78.77431,18.97483
2020 01 10::11:19:25,284.42648,10132.96814,84.58976,29.44873
2020 01 10::11:19:25,277.08964,10170.20626,64.78076,-22.40183
2020 01 10::11:19:25,282.63631,10067.49148,63.58418,-37.14941
2020 01 10::11:19:25,268.34165,10159.17015,54.37948,-38.85110
2020 01 10::11:19:25,280.00005,10141.02721,74.92906,10.93452
2020 01 10::11:19:25,286.44046,10190.96137,73.49842,24.26553
2020 01 10::11:19:25,266.10158,10048.68546,55.46516,-31.33443
2020 01 10::11:19:25,292.75483,10009.41377,42.66212,-23.27391
2020 01 10::11:19:25,252.31609,10124.97542,89.71195,-7.46537
2020 01 10::11:19:25,280.35363,10025.51877,82.99698,-43.32229
2020 01 10::11:19:25,250.37786,10075.94893,98.67009,-35.13207
2020 01 10::11:19:25,266.28974,10063.46665,96.24890,9.17037
2020 01 10::11:19:25,268.46812,10076.05357,53.84730,25.35442
2020 01 10::11:19:25,251.89232,10076.47546,89.98530,25.07263
2020 01 10::11:19:25,266.42469,10102.35142,65.17947,-12.63062
2020 01 10::11:19:25,273.91912,10030.06377,94.15337,20.44750
2020 01 10::11:19:25,274.17475,10028.75985,66.51892,-18.32782
2020 01 10::11:19:25,281.92026,10000.42347,90.16628,-38.53324
2020 01 10::11:19:25,289.99262,10052.97046,97.36170,-4.94346
2020 01 10::11:19:25,289.66521,10185.54901,88.68947,-35.05837
2020 01 10::11:19:25,287.68376,10078.70258,94.48572,-3.46867
2020 01 10::11:19:25,260.98437,10176.77914,87.29870,29.54812
2020 01 10::11:19:25,274.29684,10125.94745,42.17171,-31.39012
2020 01 10::11:19:25,252.87693,10088.40758,74.18180,-22.17496
2020 01 10::11:19:25,252.46529,10091.85932,84.67877,-13.71385
2020 01 10::11:19:25,251.23647,10193.01874,79.05604,14.02276
2020 01 10::11:19:25,253.97989,10034.94987,99.64645,11.27581
2020 01 10::11:19:25,297.04603,10160.20478,47.47288,27.88109
2020 01 10::11:19:25,273.69409,10005.24206,46.09522,-5.89969
2020 01 10::11:19:25,263.39399,10046.32032,49.68210,-0.58590
2020 01 10::11:19:25,295.36343,10093.03967,75.69721,1.59199
2020 01 10::11:19:25,256.16247,10032.93095,90.22714,-15.21982
2020 01 10::11:19:25,263.52082,10018.96885,70.98907,12.39869
2020 01 10::11:19:25,273.73983,10161.61182,59.44348,-11.68449
2020 01 10::11:19:25,267.98906,10037.94791,89.19888,48.06553
2020 01 10::11:19:25,273.60869,10162.75267,83.03198,-49.19116
2020 01 10::11:19:25,270.13237,10179.74151,85.35888,32.27232
2020 01 10::11:19:25,256.16123,10126.02537,40.87904,9.09599
2020 01 10::11:19:25,262.44823,10098.75567,63.37605,-4.19541
2020 01 10::11:19:25,288.59308,10010.17030,41.29551,7.05201
2020 01 10::11:19:25,265.60136,10055.72968,78.73228,-30.16364
2020 01 10::11:19:25,254.22769,10039.75793,51.84609,-36.94093
2020 01 10::11:19:25,279.50119,10003.98124,71.48602,35.10286
2020 01 10::11:19:25,275.12240,10086.58162,82.94129,24.02846
2020 01 10::11:19:25,267.52456,10002.86113,63.24742,19.54125
2020 01 10::11:19:25,268.30802,10183.33812,55.36359,-38.94539
2020 01 10::11:19:25,265.48503,10031.07351,66.79861,-38.02259
2020 01 10::11:19:25,258.51336,10167.25185,57.89991,-13.22077
2020 01 10::11:19:25,269.45050,10122.51828,92.03124,-15.56291
2020 01 10::11:19:25,282.72634,10101.29930,96.25210,-0.45605
2020 01 10::11:19:25,269.01071,10197.31160,46.87293,40.65940
2020 01 10::11:19:25,284.44318,10170.68983,69.39742,-15.59075
2020 01 10::11:19:25,255.09603,10010.64095,66.87467,33.39090
2020 01 10::11:19:25,257.95728,10002.25896,64.57076,26.11808
2020 01 10::11:19:25,293.94928,10092.11082,82.13097,18.03817
