Time,Velocity,Altitude,Pressure,Temperature
2020 01 10::11:19:25,250.66657,10176.42510,61.38185,-42.08458
2020 01 10::11:19:25,291.58588,10023.62357,76.99308,-45.00683
2020 01 10::11:19:25,276.96183,10011.46043,63.50416,36.65664
2020 01 10::11:19:25,284.92018,10186.77446,71.80421,25.90710
2020 01 10::11:19:25,263.93606,10181.29360,99.08202,-40.44813
2020 01 10::11:19:25,254.34657,10188.66797,61.14764,33.29248
2020 01 10::11:19:25,277.80285,10131.55741,81.02956,26.25093
2020 01 10::11:19:25,284.42648,10132.96814,84.58976,29.44873
2020 01 10::11:19:25,277.08964,10170.20626,64.78076,-22.40183
2020 01 10::11:19:25,266.10158,10048.68546,55.46516,-31.33443
2020 01 10::11:19:25,292.75483,10009.41377,42.66212,-23.27391
2020 01 10::11:19:25,289.66521,10185.54901,88.68947,-35.05837
2020 01 10::11:19:25,251.23647,10193.01874,79.05604,14.02276
2020 01 10::11:19:25,297.04603,10160.20478,47.47288,27.88109
2020 01 10::11:19:25,273.73983,10161.61182,59.44348,-11.68449
2020 01 10::11:19:25,273.60869,10162.75267,83.03198,-49.19116
2020 01 10::11:19:25,270.13237,10179.74151,85.35888,32.27232
2020 01 10::11:19:25,268.30802,10183.33812,55.36359,-38.94539
2020 01 10::11:19:25,258.51336,10167.25185,57.89991,-13.22077
2020 01 10::11:19:25,255.09603,10010.64095,66.87467,33.39090
2020 01 10::11:19:25,257.95728,10002.25896,64.57076,26.11808
